== pragma modification records 2026-05-22T22:24:34 ==
[pragma-record] file=datasets/reentrancy/dependency/0x013f7a6b98010e85fd4c8887d30f48c409b5643d.sol original=^0.4.13 fixed=0.4.24
[pragma-record] file=datasets/reentrancy/dependency/0x01d28329619796bae733e849696f80a764422700.sol original=^0.4.15 fixed=0.4.24
[pragma-record] file=datasets/reentrancy/dependency/0x01d6208f95cf2292c350fc8bb1b1f29230352675.sol original=^0.4.13 fixed=0.4.24
[pragma-record] file=datasets/reentrancy/dependency/0x020ddc98365d0199b4c7a2d769d685480789f67e.sol original=^0.4.21 fixed=0.4.24
[pragma-record] file=datasets/reentrancy/dependency/0x0267ee183beebdb7f931afe41e4e25352195b871.sol original=^0.4.21 fixed=0.4.24
[pragma-record] file=datasets/reentrancy/dependency/0x02c11f38bec96eb38c4dc2bcc8d669ae676fd7a9.sol original=^0.4.18 fixed=0.4.24
[pragma-record] file=datasets/reentrancy/dependency/0x02cb5958a36145efbacb99fac2614657bf20d4e8.sol original=^0.4.11 fixed=0.4.24
[pragma-record] file=datasets/reentrancy/dependency/0x02f61fd266da6e8b102d4121f5ce7b992640cf98.sol original=^0.4.13 fixed=0.4.24
[pragma-record] file=datasets/reentrancy/dependency/0x031b042210b3f22f4aecfc75dc317f1e2c96b98c.sol original=^0.4.9 fixed=0.4.24
[pragma-record] file=datasets/reentrancy/dependency/0x031e8de47dee0fdde1969a93b64bb8f8fbcba65d.sol original=^0.4.18 fixed=0.4.24
[pragma-record] file=datasets/reentrancy/dependency/0x0333a8c69858382840ea4980d5550fcc632342f0.sol original=^0.4.20 fixed=0.4.24
[pragma-record] file=datasets/reentrancy/dependency/0x04c2f74f7ce126ecbf39a89d8179f228dafbc500.sol original=^0.4.18 fixed=0.4.24
[pragma-record] file=datasets/reentrancy/dependency/0x0cddd3191b99127f7014195a6f2cb71d0c4077a6.sol original=^0.4.1 fixed=0.4.24
[pragma-record] file=datasets/reentrancy/dependency/0x0ce95ef378059f38c5fa21e6d81a5895c0d9911b.sol original=^0.4.13 fixed=0.4.24
[pragma-record] file=datasets/reentrancy/dependency/0x0d49b24f068a9a3ef60576c7a915ffd6844d6fdd.sol original=^0.4.18 fixed=0.4.24
[pragma-record] file=datasets/reentrancy/dependency/0x0d61178ce25bf05c5b19dc56f30e0f10cbbe9f2b.sol original=^0.4.20 fixed=0.4.24
[pragma-record] file=datasets/reentrancy/dependency/0x0e54b1b8ff833b5f2b0d17453d97d340cb7576e4.sol original=^0.4.13 fixed=0.4.24
[pragma-record] file=datasets/reentrancy/dependency/0x0e6457a564fd6780b5a8512707a46c43f3a49ffc.sol original=^0.4.21 fixed=0.4.24
[pragma-record] file=datasets/reentrancy/dependency/0x0f00f1696218eaefa2d2330df3d6d1f94813b38f.sol original=^0.4.19 fixed=0.4.24
[pragma-record] file=datasets/reentrancy/dependency/0x0f5ee401de162cd163b6ff46318eef2727dbb9fc.sol original=^0.4.11 fixed=0.4.24
[pragma-record] file=datasets/reentrancy/dependency/0x17b031b3802789a458955b3d27c60a0379f187b4.sol original=^0.4.0 fixed=0.4.24
[pragma-record] file=datasets/reentrancy/dependency/0x2682e3ad5358932ac5cd8f8616912cec76ad680c.sol original=^0.4.21 fixed=0.4.24
[pragma-record] file=datasets/reentrancy/dependency/0x28f1135e43e61ebf303c8f1f9beef4f6a00dcb34.sol original=^0.4.19 fixed=0.4.24
[pragma-record] file=datasets/reentrancy/dependency/0x29880855d419c6fa0e8c7fdfd985c80f286d914e.sol original=^0.4.11 fixed=0.4.24
[pragma-record] file=datasets/reentrancy/dependency/0x3400696045f706f3309927cb8fdf63f07b616c6f.sol original=^0.4.13 fixed=0.4.24
[pragma-record] file=datasets/reentrancy/dependency/0x3420894bf786866a09937b0369d5b4781870c21f.sol original=^0.4.13 fixed=0.4.24
[pragma-record] file=datasets/reentrancy/dependency/0x37e343f2cc245754595f1ae3656b460c35d636fb.sol original=^0.4.18 fixed=0.4.24
[pragma-record] file=datasets/reentrancy/dependency/0x39e8082b00c9f19ebf553e40feb7cf8459acc693.sol original=^0.4.13 fixed=0.4.24
[pragma-record] file=datasets/reentrancy/dependency/0x39f996a2cafca0e593d0c46b8365d3936b6cc1cf.sol original=^0.4.17 fixed=0.4.24
[pragma-record] file=datasets/reentrancy/dependency/0x3a715f7ee68d8d7b105f9cabd972f76cb8ea0710.sol original=^0.4.18 fixed=0.4.24
[pragma-record] file=datasets/reentrancy/dependency/0x40da24a66f729d0bd0453681c5a6506bdc2a7a6a.sol original=^0.4.11 fixed=0.4.24
[pragma-record] file=datasets/reentrancy/dependency/0x416e18790790edb098cb17a7d490caa1262f5772.sol original=^0.4.13 fixed=0.4.24
[pragma-record] file=datasets/reentrancy/dependency/0x430e87a95a421437ccaa0af644ac57e22914b07a.sol original=^0.4.3 fixed=0.4.24
[pragma-record] file=datasets/reentrancy/dependency/0x447b4ccab1b370afbe5ae2e68c0b700be913a585.sol original=^0.4.20 fixed=0.4.24
[pragma-record] file=datasets/reentrancy/dependency/0x45afe0ff6a92bc9f346fc440a9d2a881d42094ff.sol original=^0.4.18 fixed=0.4.24
[pragma-record] file=datasets/reentrancy/dependency/0x4b96bf1fef93a216914fc843d81207a027ce52b3.sol original=^0.4.19 fixed=0.4.24
[pragma-record] file=datasets/reentrancy/dependency/0xf64196754b5548eef6bfcc434465c0d218309914.sol original=^0.4.19 fixed=0.4.24
[pragma-record] file=datasets/reentrancy/undependency/0x470142a1834438515b757118f322703aba6e1e05.sol original=^0.4.13 fixed=0.4.24
[pragma-record] file=datasets/reentrancy/undependency/0xf3bfe4b73faa6393f84f59354ebd71b1c4db53fc.sol original=^0.4.18 fixed=0.4.24
[pragma-record] file=datasets/reentrancy/undependency/0xf3c8ed6c721774c022c530e813a369dfe78a6e85.sol original=^0.4.2 fixed=0.4.24
[pragma-record] file=datasets/reentrancy/undependency/0xf449ef0007c98761bdfced7ab1d0351f71d30468.sol original=^0.4.18 fixed=0.4.24
[pragma-record] file=datasets/reentrancy/undependency/0xf4ac7eccd66a282920c131f96e716e3457120e03.sol original=^0.4.4 fixed=0.4.24
[pragma-record] file=datasets/reentrancy/undependency/0xf4bc01f1de29385ad2d3cbc4d5cc7ab67d2091fc.sol original=^0.4.4 fixed=0.4.24
[pragma-record][summary] total=43
[ok] datasets/reentrancy/dependency/0x0000000000b3f879cb30fe243b4dfee438691c04.sol: nodes=26, edges=40, label=1
[ok] datasets/reentrancy/dependency/0x0da76de0916ef2da3c58a97e4d09d501c56a9f15.sol: nodes=10, edges=15, label=1
[ok] datasets/reentrancy/dependency/0x0dae7caf45d9c473a8f6ae0d4934e5c3b2dbc371.sol: nodes=119, edges=167, label=1
[ok] datasets/reentrancy/dependency/0x0e33ca464b1c76a384039eb1b7e9dc3b0416b5ae.sol: nodes=166, edges=337, label=1
[ok] datasets/reentrancy/dependency/0x0e412af67f6c41e9209da8b8638d65bb883ddf5a.sol: nodes=119, edges=179, label=1
[ok] datasets/reentrancy/dependency/0x0e54b1b8ff833b5f2b0d17453d97d340cb7576e4.sol: nodes=31, edges=24, label=1
[ok] datasets/reentrancy/dependency/0x0e6457a564fd6780b5a8512707a46c43f3a49ffc.sol: nodes=19, edges=27, label=1
[ok] datasets/reentrancy/dependency/0x0e69d0a2bbb30abcb7e5cfea0e4fde19c00a8d47.sol: nodes=68, edges=75, label=1
[ok] datasets/reentrancy/dependency/0x0e6e19549a89c9bec84b5b632cd1674f8e066d06.sol: nodes=80, edges=121, label=1
[ok] datasets/reentrancy/dependency/0x0e6f6ed4581d25944d8c6a595b9f50e11431b754.sol: nodes=142, edges=229, label=1
[ok] datasets/reentrancy/dependency/0x0e752b742f744fdc2d93774da44c37b72c3e6952.sol: nodes=75, edges=127, label=1
[ok] datasets/reentrancy/dependency/0x0e8175729e02db48ca0e2ca80efb72fe84a7dedd.sol: nodes=31, edges=39, label=1
[ok] datasets/reentrancy/dependency/0x0ece93150cd501a5181d0ad03f87b177b1db4e0a.sol: nodes=131, edges=277, label=1
[ok] datasets/reentrancy/dependency/0x0ee14f47320604d894fffffc8639772382937bee.sol: nodes=46, edges=58, label=1
[ok] datasets/reentrancy/dependency/0x0ee1fa262e2deb4a8ac8124d414f5337c28866e4.sol: nodes=26, edges=24, label=1
[ok] datasets/reentrancy/dependency/0x0f00f1696218eaefa2d2330df3d6d1f94813b38f.sol: nodes=74, edges=117, label=1
[ok] datasets/reentrancy/dependency/0x0f067ddb0795a7627c18a5792ed0a2199de3a8c2.sol: nodes=90, edges=131, label=1
[ok] datasets/reentrancy/dependency/0x0f1c64c1259e28b564662ba41e994d67cb7b1519.sol: nodes=162, edges=212, label=1
[ok] datasets/reentrancy/dependency/0x0f1da17b33df90c078fd2fb4b9011a64af3c67a6.sol: nodes=25, edges=38, label=1
[ok] datasets/reentrancy/dependency/0x0f31b54b35ab54d65d001f4e037a97548461ea7c.sol: nodes=45, edges=69, label=1
[ok] datasets/reentrancy/dependency/0x0f5d6ae470d3b93eb3347212d480bf9b3acfe4f9.sol: nodes=37, edges=33, label=1
[ok] datasets/reentrancy/dependency/0x0f5ee401de162cd163b6ff46318eef2727dbb9fc.sol: nodes=27, edges=41, label=1
[ok] datasets/reentrancy/dependency/0x174bb5d84b78e9e2248e7aa2c789aeba82f72f68.sol: nodes=57, edges=115, label=1
[ok] datasets/reentrancy/dependency/0x1784e5aec9ad99445663dbca9462a618bfe545ac.sol: nodes=19, edges=27, label=1
[ok] datasets/reentrancy/dependency/0x17a03553719001e05dc19a20f5e82ee76923a985.sol: nodes=60, edges=50, label=1
[ok] datasets/reentrancy/dependency/0x17b031b3802789a458955b3d27c60a0379f187b4.sol: nodes=38, edges=61, label=1
[ok] datasets/reentrancy/dependency/0x1d86a854da490ff74dedc7abe281fb468f8c19ee.sol: nodes=35, edges=79, label=1
[ok] datasets/reentrancy/dependency/0x1d899280f446aab65971e41611b5bb5516dd47f9.sol: nodes=84, edges=225, label=1
[ok] datasets/reentrancy/dependency/0x1d8cd6eab10ab7d673fa7b4c5f93fe167953d4f9.sol: nodes=26, edges=29, label=1
[ok] datasets/reentrancy/dependency/0x1db10d198c2d66a8767e7adde7fa5e5bf2d57604.sol: nodes=78, edges=104, label=1
[ok] datasets/reentrancy/dependency/0x1dd6363c7f7a3150fb7ab13c29fe92f5bab23457.sol: nodes=45, edges=50, label=1
[ok] datasets/reentrancy/dependency/0x1eafd303c88b6cd638c77b40596de3dcf001b249.sol: nodes=175, edges=225, label=1
[ok] datasets/reentrancy/dependency/0x1eb0d4794d4067ed004c9d55ff6eb50620b27c58.sol: nodes=64, edges=75, label=1
[ok] datasets/reentrancy/dependency/0x26788f0670bdf9594ba1a677a977e97eb68568db.sol: nodes=74, edges=222, label=1
[ok] datasets/reentrancy/dependency/0x2682e3ad5358932ac5cd8f8616912cec76ad680c.sol: nodes=19, edges=27, label=1
[ok] datasets/reentrancy/dependency/0x269b4c23ddab676e2869ae72cd6ae4f24bdfea45.sol: nodes=80, edges=138, label=1
[ok] datasets/reentrancy/dependency/0x2775f2a3c83bee1541d1d1bc308b3bb432b45151.sol: nodes=37, edges=33, label=1
[ok] datasets/reentrancy/dependency/0x28be79bd9ac609876b03f692d8d85278d8cbc2f3.sol: nodes=49, edges=71, label=1
[ok] datasets/reentrancy/dependency/0x28f1135e43e61ebf303c8f1f9beef4f6a00dcb34.sol: nodes=65, edges=128, label=1
[ok] datasets/reentrancy/dependency/0x291de53a16b76dfe28551fd3335225f506db8b82.sol: nodes=69, edges=113, label=1
[ok] datasets/reentrancy/dependency/0x292d448b46f5419387e3886e89680ed4b7d62d09.sol: nodes=12, edges=14, label=1
[ok] datasets/reentrancy/dependency/0x29632c10d76bd1aed6b1524bf5bde4c992610670.sol: nodes=305, edges=146, label=1
[ok] datasets/reentrancy/dependency/0x296b13cdf513436ca34889f79d516018884374c1.sol: nodes=57, edges=80, label=1
[ok] datasets/reentrancy/dependency/0x296ec7b2b224ea122f8f8f9be2a824df092fc82c.sol: nodes=58, edges=99, label=1
[ok] datasets/reentrancy/dependency/0x29880855d419c6fa0e8c7fdfd985c80f286d914e.sol: nodes=61, edges=97, label=1
[ok] datasets/reentrancy/dependency/0x29d79f8ac7d22a4b1a5e7630f3d48e8d291d3f11.sol: nodes=37, edges=33, label=1
[ok] datasets/reentrancy/dependency/0x2d3e7d4870a51b918919e7b851fe19983e4c38d5.sol: nodes=125, edges=199, label=1
[ok] datasets/reentrancy/dependency/0x2d820ea3a6b9302c500feeb7f6361ba1ddfa5aba.sol: nodes=111, edges=162, label=1
[ok] datasets/reentrancy/dependency/0x2e485b285d84f09dc4663c8490aafbedce913b10.sol: nodes=47, edges=56, label=1
[ok] datasets/reentrancy/dependency/0x2e59c87e9349242063793761780550374a3146cf.sol: nodes=37, edges=33, label=1
[ok] datasets/reentrancy/dependency/0x2f5c4a85d7e133c4fefa5a0c0ba1447a1af86996.sol: nodes=14, edges=13, label=1
[ok] datasets/reentrancy/dependency/0x300a0a820d8fb6e77850da5eaa8df64bbff5746d.sol: nodes=108, edges=240, label=1
[ok] datasets/reentrancy/dependency/0x301487766dcf283592b11b5988e5c4e4630dfbe5.sol: nodes=56, edges=72, label=1
[ok] datasets/reentrancy/dependency/0x302eb72befc8af539432ec32c39423525412748f.sol: nodes=37, edges=33, label=1
[ok] datasets/reentrancy/dependency/0x33e85f62383aa7601d6ca117fe35b9b397ffe056.sol: nodes=37, edges=33, label=1
[ok] datasets/reentrancy/dependency/0x3400696045f706f3309927cb8fdf63f07b616c6f.sol: nodes=54, edges=72, label=1
[ok] datasets/reentrancy/dependency/0x34094acd5d62f0b9a17aeabf3c6992677ed5484b.sol: nodes=27, edges=41, label=1
[ok] datasets/reentrancy/dependency/0x340b84a70520f721fde96c7ad663383c31e416cb.sol: nodes=151, edges=198, label=1
[ok] datasets/reentrancy/dependency/0x341f9c6c60c07fd11ef0bbc93586a2b9d68bfcf0.sol: nodes=77, edges=106, label=1
[ok] datasets/reentrancy/dependency/0x3420894bf786866a09937b0369d5b4781870c21f.sol: nodes=80, edges=145, label=1
[ok] datasets/reentrancy/dependency/0x3478c2e4ed6f64db0be9c483b87f70ff6ab0d65a.sol: nodes=46, edges=32, label=1
[ok] datasets/reentrancy/dependency/0x359a46571d4bc22a6a9310038b51e2d91163412f.sol: nodes=120, edges=141, label=1
[ok] datasets/reentrancy/dependency/0x35a1700ac75f6e9e096d9a5c90e3221b658096e0.sol: nodes=17, edges=18, label=1
[ok] datasets/reentrancy/dependency/0x35c2307cd831741187d4ef71ce9fbe91fa822df5.sol: nodes=44, edges=73, label=1
[ok] datasets/reentrancy/dependency/0x35d672846d18e8a8ca6e036cb85828d38c9d7fa0.sol: nodes=23, edges=20, label=1
[ok] datasets/reentrancy/dependency/0x35fd00d47202b1b2158dba75e7cc8f71b068c256.sol: nodes=110, edges=221, label=1
[ok] datasets/reentrancy/dependency/0x3639d5dc956e35540fbd1de691870fb1318d6783.sol: nodes=23, edges=42, label=1
